"","spg","spc","spd"
"mt.Rnr2",0.52701240723156,0.0858502398465922,-0.752871907730425
"Ncl",1.0969375347052,-0.776087772873518,-0.844626387507354
"Hsp90ab1",1.03119794185713,-0.686550022495249,-0.826563446907812
"Dazl",1.02614432575781,-0.729988992289372,-0.78709937352687
"Prrc2c",0.939288517886495,-0.623729493358757,-0.754125528372428
"Ldhc",-1.08823550301785,0.882956199102392,0.752406917450238
"Ubb",-0.348774288515057,0.440780320076573,0.12174770079136
"Fabp9",-0.937287352313323,0.622478185508957,0.752460173497348
"Pabpc1",0.0642507420364001,0.555032802024628,-0.503825566579426
"Meig1",-0.929901233988228,0.694936385579073,0.687994434037633
"Tnp1",-0.684672778808427,-0.308173313464072,1.12688542633116
"Smcp",-0.71136539587094,-0.292501061829256,1.14986935112712
"Tsga8",-0.453805044061356,-0.345616440766883,0.853862386589545
"Dbil5",-0.633319018091206,-0.218392709196546,0.991921520396083
"Gm9999",-0.548439371683861,-0.378078433878766,1.00195144619473
