,spg,spc,spd
0610009B22Rik,0.013240387773082096,0.28747919811099376,0.06511825811525522
0610009L18Rik,0.02731758155243751,2.4998969600823098,0.5149735322406873
0610009O20Rik,0.025954799555610128,0.06404846648653345,0.015602717384815636
0610010F05Rik,0.01093692610545876,0.04285700978491443,0.04252638964347707
0610011F06Rik,0.18957429223660124,0.010889672337840049,0.01958350967863256
0610012G03Rik,0.169681713031228,0.020006798908829563,0.030734328008252584
0610030E20Rik,0.03516979371900831,0.011887108633706726,0.014222963453116572
0610037L13Rik,0.020631438130746003,0.03826227912582252,0.1266798021076995
0610040B10Rik,0.006427286656438235,0.015170175865630558,0.007764347669468468
1110001J03Rik,0.1080104965607589,0.018530299475282366,0.013578940268238133
1110002L01Rik,0.011708083505956998,0.0014154012922809947,0.0003425747448525837
1110004E09Rik,0.2529353440714208,2.8738044575694865,0.4246697817400091
1110004F10Rik,0.5718860111827339,0.010652397801305353,0.08206153951462294
1110008F13Rik,0.4244645053454561,0.09151972145023604,0.2092797828540063
1110008P14Rik,0.031143348453800252,0.013269260459767441,0.05661699411149661
1110020A21Rik,0.015402471414538054,0.031940376610551977,0.005574443881048467
1110032A03Rik,0.13187074332684495,0.11982148918329072,0.12866802970734553
1110037F02Rik,0.2653623293265949,0.02904140616469112,0.011658309261508728
1110038B12Rik,0.27912050857791987,0.04139330234265193,0.023672341325126318
1110051M20Rik,0.021669519248288423,0.0008881101507177951,0.05800602321731175
1110058L19Rik,0.05850307289710807,0.23917249560877593,0.018328764951964945
1110059E24Rik,0.07628197528309778,0.0012770738016846803,0.00036828038291498365
1110059G10Rik,0.08527680670423977,0.032898726266382065,0.012440297751285514
1110065P20Rik,0.3415318758616535,1.035488996668899,0.04594469612948285
1190007I07Rik,0.1314088531538448,0.00984569580849852,0.0005021169333410731
1500002C15Rik,0.0027586687806098018,0.024775608188309498,0.0903067994005271
1500011K16Rik,0.05412930018594917,0.005798259653674221,0.00536962868777793
1600012H06Rik,0.13252981827170623,0.0010404277698214544,0.008764672223140896
1600016N20Rik,0.0025809535323655626,0.0021621363780995845,0.19411422390340582
1600020E01Rik,0.005598624271860385,0.03741922937474775,0.024055588725927522
1700001C19Rik,0.01561490455258337,0.17532403173794928,3.037812779809272
1700001G11Rik,0.0025506555028331048,0.2931007316903581,0.032769506596182406
1700001L05Rik,0.02199986686604385,0.2654976110844615,0.19585993290375978
1700001L19Rik,0.004853052257427968,0.3614633471523201,0.9806420771875579
1700001P01Rik,0.0032973834758056536,0.13246314738914702,0.7365493626341242
1700003F12Rik,0.0032935007840558224,0.16876585001416317,2.955115358431143
1700003G18Rik,0.0038844599495050187,0.008568855024272144,0.01564291354238219
1700003M02Rik,0.018951187782296663,0.27042128035671864,1.5838673261672815
1700006J14Rik,0.000857743838426888,0.7833731171219583,0.1320583787474519
1700007G11Rik,0.00972955783865926,0.781111510458824,0.16786937677976443
1700007K09Rik,0.0017138434268590104,0.20313435453183806,0.7348042882464084
1700007K13Rik,0.00485189965319616,0.06120829650130673,0.3095660867255226
1700007L15Rik,0.014755836161690813,0.08762360233557263,0.0462508070539036
1700008I05Rik,0.0018773389634718124,0.011258372674494753,0.1138807343789471
1700008O03Rik,0.002426739686343963,0.027878742452419912,0.13109440214998133
1700010D01Rik,0.0030669147010876194,0.0005585312955224003,0.7355036313737373
1700010K24Rik,0.0029853219497444905,0.0,0.0013134299052599465
1700012B07Rik,0.0028342691399960993,0.04398383971167832,1.2121775735090758
1700012C14Rik,0.0030132735607396343,0.034716630129358,0.00035471516054045194
1700013F07Rik,0.0036815910625949836,0.3395061777855543,3.0794510945962
1700013H16Rik,0.5427252774578076,0.045974052942654754,0.038141454293050714
1700014D04Rik,0.0044276221380809225,0.0,0.04775250404587658
1700015F17Rik,0.020046920834569094,0.27347000862729826,1.9169961386806031
1700016H13Rik,0.02741810601996284,0.04430252259145069,0.2526132445691335
1700016K19Rik,0.17284107534485404,0.2609140652633682,1.260539802341022
1700017B05Rik,0.03112995422147452,0.0427155961102826,0.030480193238495514
1700017D01Rik,0.010539880782067594,0.029079060599862042,0.26925295349463335
1700018A04Rik,0.004066235667840276,0.008925925738808486,0.05344195120483648
1700018B08Rik,0.011122517109919428,0.04660651223915381,0.06199765393621365
1700018B24Rik,0.1736571906995515,0.42370459447884373,0.28689038385484533
1700019A02Rik,0.020543272851834913,0.4045475487119785,0.5667629452376107
1700019B03Rik,0.003461146238981623,0.00966898801975804,0.28356691746843754
1700019D03Rik,0.0012792745743469643,0.2650805814937613,3.466845137151155
1700019G17Rik,0.00020467035014138033,0.0,0.05581187761248717
1700019L03Rik,3.538074005988889e-05,0.02770157406501318,0.38268990739444464
1700020D05Rik,0.04436486137421269,1.7061505758580697,2.6577111538557734
1700020I14Rik,1.0747071998738496,0.020028101102939278,0.008126688205270825
1700020N01Rik,0.014605505646334916,0.17106713537441806,0.5495364127647254
1700021F05Rik,0.19127695703164718,0.3177391308965814,0.12514090784777376
1700021F07Rik,0.0025834619160762483,0.5603334199274204,3.0155894177903835
1700021K19Rik,0.06806846641396626,0.06577353303121183,0.010475181778208916
1700022I11Rik,0.0029871684166125193,0.04550220618021528,0.13698333151421252
1700022N22Rik,0.00014790898427146515,0.014084954999066953,0.015914901966062055
1700023F06Rik,0.002406459059028498,0.0,0.11878484839809801
1700023H06Rik,0.000378363702840331,0.004607587885380837,0.11719488161672173
1700023L04Rik,0.02269360683041784,0.057019956196770034,0.5639513905154234
1700025G04Rik,0.13087529195406677,0.0012199369572096427,0.06175884644126251
1700026L06Rik,0.023379258119861298,0.5826455309754025,4.965807914368253
1700028I16Rik,0.014356424293912389,0.003133360063174241,0.021065080137722996
1700028J19Rik,0.017063334499788963,3.292243440652064,0.859589771628993
1700028K03Rik,0.028178576913597878,0.13621807423282936,0.010572215430186894
1700029H14Rik,0.0031646998168147946,0.6068691146274329,6.354788458520646
1700029J07Rik,0.038524919855597695,0.0679394498272272,0.2653772637455506
1700029M20Rik,0.0030307638827162067,0.6243517794710909,0.757338555274322
1700029P11Rik,0.018459246840206233,1.8674235253786957,0.17235926119523798
1700030C12Rik,0.013861545616645765,0.7524885097503768,0.7209902058885522
1700030J22Rik,0.04489028534145396,0.14082374460444938,1.6615972205481808
1700030K09Rik,0.004009152368235715,0.047278713490959266,0.06254975313554638
1700037C18Rik,0.005445443552802662,0.3159587292537665,1.7848484864900647
1700037H04Rik,0.05323908081283599,0.7748886129349785,1.560953505597999
1700040L02Rik,0.005146044380936665,0.4587780324059028,0.000417443758252407
1700048O20Rik,0.07783364125678646,0.016747367505030527,0.060100769168691906
1700049G17Rik,0.00046285777115498953,0.0,0.018898000417020732
1700052N19Rik,0.017053699648449903,0.11473111877657889,0.22665744970627866
1700056E22Rik,0.002219032129811678,0.004748537501914364,0.0019052819602263036
1700057G04Rik,0.02379911018419404,0.023398841215325518,0.22230749737753472
1700057H21Rik,7.318830222626914e-05,0.0035417699847355107,0.006503006334120453
1700061G19Rik,0.0068790525685419315,0.0838194052723292,0.3637422502629733
1700065D16Rik,0.014678669180588112,0.012562260286840016,0.00884435404803772
1700066M21Rik,0.030603594881397682,0.03388333795346192,0.1205779464074154
1700067K01Rik,0.0029417172193606693,0.02491491259780444,0.013017919415416601
1700080O16Rik,0.0014919690289836376,0.01581329713168518,0.16356459231575013
1700084M14Rik,0.003638090156040247,0.012854819512644323,0.5725289253011484
1700086L19Rik,0.0014541210903291101,0.6325638939094845,1.4246553763860244
1700086P04Rik,0.10909338229269142,0.01997111733833213,0.042950231559234574
1700088E04Rik,0.09083546678835096,0.1632648390935294,0.1296246530757688
1700092C10Rik,0.0023258801074441384,0.002300536393217651,0.1465756670921741
1700092M07Rik,0.003260222531441731,0.03996085630514547,2.504888042646549
1700093K21Rik,0.001410887250608573,0.04335627501731509,1.1101085737571383
1700101E01Rik,0.03846762954725084,0.0017529222621395337,0.018088215721240405
1700101I11Rik,0.003782198589183584,0.042608824199717094,0.13072796853511148
1700102P08Rik,0.0003177658268584063,1.6095407765702319,0.05428880728073642
1700109G15Rik,0.001445740430845395,0.021688559294788426,0.0019486908442738916
1700109H08Rik,0.019859790042858615,0.07174800379802611,0.8719903784985353
1700112D23Rik,0.036271852038406514,0.01217434527621107,0.009293948648124035
1700113A16Rik,0.012669550943541252,0.004579628755611837,0.005009477393128378
1700120G11Rik,0.0012444066191806187,0.0037038122526378814,0.003729205459312526
1700122O11Rik,0.0004982097050938377,0.0,0.09077547462978648
1700123L14Rik,0.0037555145872770796,0.44791887917754336,0.8248763499504252
1700123M08Rik,0.0027139983385526686,0.0,0.04693107386328658
1700123O20Rik,0.02064434423134607,0.08186535990915449,0.05316304239931636
1700125H20Rik,0.009886954763551628,0.10486491347811301,0.35088692964221263
1810013L24Rik,0.06727890440287963,0.004022642899578935,0.025103972253264346
1810020O05Rik,0.00045671379640769405,0.0,0.0189273633229749
1810024B03Rik,0.04750869547650288,0.008689464663008399,0.0009040966700510054
1810037I17Rik,0.007242940713876616,0.06301068036373002,0.0012297611652644902
1810043G02Rik,0.0012872519980514112,0.018347524831148168,0.026769382060991886
1810043H04Rik,0.31122080733409435,0.25592044825202626,0.09980871647346787
1810055G02Rik,0.004688704886229768,0.0028251357877737784,0.0013906450615360979
1810058I24Rik,0.08526075713755296,0.17285614013051853,0.026258194682934582
2010012O05Rik,0.020034294579120652,0.04514449695336477,0.00505702462412866
2010107E04Rik,3.001110151282339,0.31828976177595186,1.997782437894631
2010109A12Rik,0.005281489753781177,0.015172144776667425,0.011405613579378296
2010111I01Rik,0.03222196367204907,0.0026049483745070713,0.02611701234032804
2200002J24Rik,7.730528642271461e-05,0.0,0.08573597428182546
2210011C24Rik,0.008853365863500252,0.005486257925585432,0.01865014451850223
2210015D19Rik,0.029502226591140473,0.02134657763441313,0.039215915571244354
2210016L21Rik,0.03398292059552806,0.01597804516964951,0.015207570997047632
2210408I21Rik,0.003953626426067423,0.05082705886759877,0.007545412344997325
2300009A05Rik,0.04206131153619912,0.3659903875988373,0.03730569014239287
2310003H01Rik,0.019530908098111928,0.04174315964717469,0.11428078176975273
2310010J17Rik,0.1493626753714129,0.014665741253348966,0.0022658742934145164
2310022A10Rik,0.0011898511902208172,0.0024776096462432095,0.015253966699272974
2310030G06Rik,0.030111997676046005,0.00647506590373307,0.00780750391560437
2310033P09Rik,0.5195458185535528,0.0020846665982425065,0.0
2310036O22Rik,1.120467479067595,1.101742394437616,0.32740896602939795
2310039H08Rik,0.21812573534135718,0.15682161330811265,0.2753329012629716
2310045N01Rik,0.0674948324107409,0.10589492279768448,0.006497792767113586
2310047M10Rik,0.02713413347180915,0.008530880344534985,0.01695970889934538
2310057M21Rik,0.1946632520401016,0.1440153414879371,0.01114914040000862
2310061I04Rik,0.17263946416383663,0.29652575127990327,0.13026070049039773
2310067B10Rik,0.00012266741480888274,0.0074857903722802864,0.02356471929923875
2410004B18Rik,0.3376878717456607,0.029854418161543817,0.017406715900889134
2410004N09Rik,0.060009023162374185,0.019419879575740442,0.04804625037079705
2410006H16Rik,0.18486344795705745,0.09478859611510246,0.003901065632157614
2410015M20Rik,1.3856244761671384,0.01616714958601267,0.23949883644085213
2410089E03Rik,0.5624048676683275,0.22349972653711964,0.13312797696140694
2410127L17Rik,0.007172813946759662,0.009534826303096844,0.014600370865604284
2500004C02Rik,0.0013750590847521618,0.015649243945356852,0.0036799294262203287
2510003E04Rik,0.20526271300499876,0.033026881420608,0.09623661989214333
2610001J05Rik,0.03450927482427793,0.007544874012137347,0.008870104145630227
2610015P09Rik,0.5457184296410127,0.12280135301121947,0.0062078398909728594
2610020C07Rik,0.05590992805127345,0.00647940798515122,0.003703369568299498
2610020H08Rik,0.044363895333415296,0.10643702172922855,0.011317064422454906
2610301B20Rik,0.036585460060334134,0.08479517069747132,0.015949838426491107
2610318N02Rik,0.04669610693741495,0.3804238181064282,4.626807776093448
2610507B11Rik,0.8339244445805281,0.2824705098368555,0.038884513263801115
