,spg,spc,spd
0610009B22Rik,0.05278129760926402,0.03986458384911921,0.06580783595466203
0610009L18Rik,0.02578232873125612,1.7715228085757895,0.4238425815892428
0610009O20Rik,0.02477041047370455,0.0462863173415748,0.010066905585588723
0610010F05Rik,0.01591656325705585,0.0630536495725414,0.1492876292300072
0610011F06Rik,0.1823225001631487,0.014004428849686161,0.03672358963694773
0610012G03Rik,0.14052528089199784,0.016526437370905433,0.11047381589351248
0610030E20Rik,0.040811444790703734,0.005272380140037385,0.006370014543508649
0610037L13Rik,0.012642908182596068,0.08168253159479615,0.13639970303122967
0610040B10Rik,0.010006378746668489,0.025016012744413844,0.002541128784603015
1110001J03Rik,0.09952024807684898,0.026098675356771735,0.021406243217172875
1110002L01Rik,0.010668073281548725,0.003054349956067993,0.0004652440141437567
1110004E09Rik,0.19684933139528105,2.9351209124495923,0.2902261645302275
1110004F10Rik,0.3439036013654293,0.1475845586008751,0.04788505560996749
1110008F13Rik,0.3735933693893375,0.0785107752517332,0.147971525444289
1110008P14Rik,0.004520413397150449,0.0028317247371889686,0.012654987800106605
1110020A21Rik,0.014276898034363746,0.029551518111060153,0.0016715239432282274
1110032A03Rik,0.1502711625089704,0.46872906609301257,0.1480297248715708
1110037F02Rik,0.24399962205492348,0.015944123012654708,0.009028227084954365
1110038B12Rik,0.27433100330792604,0.0031697685393225865,0.026334906600758726
1110051M20Rik,0.020052783926268563,0.00468731715157041,0.05384266604107637
1110058L19Rik,0.04666080410268552,0.15962950073630996,0.008818845231898662
1110059E24Rik,0.06665163179128629,0.0004694202241461027,0.0012792898085916935
1110059G10Rik,0.09109132487162432,0.04353991579878253,0.007549354876364469
1110065P20Rik,0.33083051242371225,0.7206104897699184,0.01444520937977768
1190007I07Rik,0.12992543815287583,0.018656434701875804,0.00035917608870598034
1500002C15Rik,0.0025474072932825166,0.005996151399675254,0.07925449575501611
1500011K16Rik,0.05315790216074692,0.004487188611121585,0.0051164327647224336
1600012H06Rik,0.13076940275409904,0.01285922660272627,0.003134303186501379
1600016N20Rik,0.0030160135982411113,0.029843351636259584,0.2749357588790941
1600020E01Rik,0.007396213117222451,0.028306427846142734,0.03654837061578186
1700001C19Rik,0.013077887977873091,0.2483764364003151,3.5994140580295326
1700001G11Rik,0.0017251896643618008,0.4356590599325762,0.1132580909558529
1700001L05Rik,0.030531858907914475,0.09283906977897428,0.6578990954879042
1700001L19Rik,0.006672022673766706,0.03426755608495056,0.03619312013838831
1700001P01Rik,0.002463231871267959,0.04445362364182148,0.21196324185859033
1700003F12Rik,0.0051780755311828025,0.23430544503974995,3.7515181657321235
1700003G18Rik,0.0038167950699965875,0.005417182063048841,0.0224424072119608
1700003M02Rik,0.017542285300080698,0.15001207478694337,1.3735271114952656
1700006J14Rik,0.003914085566845117,0.6879592811214211,0.04437918131949403
1700007G11Rik,0.01141823475698191,1.0777246282769224,0.25582454582002684
1700007K09Rik,0.0017388248659467901,0.237753243107187,0.7990821202246731
1700007K13Rik,0.003956302206240982,0.09323908045869997,0.35428105992899717
1700007L15Rik,0.022014366628156663,0.022463212122451465,0.08804471023841988
1700008I05Rik,0.0024342606536221553,0.009453244322750305,0.06967306374122452
1700008O03Rik,0.0016983922613069136,0.020206823058891724,0.11731993621686106
1700010D01Rik,0.002961995440478843,0.000733105841179077,0.802754768753029
1700010K24Rik,0.0031314918242735306,0.0,0.0010718747314084989
1700012B07Rik,0.0032310529108114995,0.06787264099611241,1.3862003437448793
1700012C14Rik,0.0021526881455891994,0.020642987327718666,0.000319847872190496
1700013F07Rik,0.0032566929530382905,0.3144615123227494,2.423095855947446
1700013H16Rik,0.5808669840381707,0.04255947246118468,0.01008510654923671
1700014D04Rik,0.0038916457226645823,0.0,0.048102976039335894
1700015F17Rik,0.01571479568780141,0.39043156764998,2.1782374137472567
1700016H13Rik,0.027825356347330105,0.0802103680669862,0.49824958074281395
1700016K19Rik,0.15847867941973556,0.1855377411758818,1.1505656239983952
1700017B05Rik,0.030297523208109696,0.04047182897737747,0.024641202311452774
1700017D01Rik,0.011235624244038251,0.053696302574481866,0.33565255013671
1700018A04Rik,0.004448586729890032,0.0023373655401391644,0.04837285439622485
1700018B08Rik,0.011030442121470467,0.016747515542426192,0.10221373325376303
1700018B24Rik,0.10726981135135888,0.3895125174272452,0.3929948387365318
1700019A02Rik,0.012587953796681968,1.1805492815506278,1.527623369495418
1700019B03Rik,0.0037098327374058162,0.008375826032479,0.21752652593101363
1700019D03Rik,0.0011641365035199782,0.2136789354132618,2.9083425441122737
1700019G17Rik,0.00027617684314959533,0.0,0.0501316987969733
1700019L03Rik,0.00027435970941854296,0.017235188719103647,0.30879300966913587
1700020D05Rik,0.04427410194780634,1.4808242333231267,2.487379237986655
1700020I14Rik,1.0334667620950273,0.018960061288881214,0.0297555554289187
1700020N01Rik,0.01698239438610615,0.09760498739582302,0.49457818733572156
1700021F05Rik,0.21347874065851047,0.48224119948117905,0.14824923466645215
1700021F07Rik,0.002951891426690757,0.5735600725895962,2.560405685606154
1700021K19Rik,0.09382173687088209,0.07594001248719408,0.009004671392003024
1700022I11Rik,0.0026475186108773944,0.07537113755286569,0.15749295720463818
1700022N22Rik,0.0006617144730723589,0.015291365073636775,0.014845598178805127
1700023F06Rik,0.0030518118735294282,0.0,0.13066963789961278
1700023H06Rik,0.00031081905792669365,0.0026744068917905115,0.09748747863784389
1700023L04Rik,0.020142679481630968,0.09852010324555892,0.37190765553010413
1700025G04Rik,0.11452090027865428,0.013576381739467102,0.13404326742957148
1700026L06Rik,0.023630090889341964,0.5299716610172945,4.43259760470048
1700028I16Rik,0.013395457827887253,0.010307806833045963,0.0014047450196223406
1700028J19Rik,0.026110844569938344,3.779354390211247,0.9344447656693458
1700028K03Rik,0.028626976956910553,0.20885903079677592,0.022786593522564496
1700029H14Rik,0.003032155180309334,0.5572554515880083,5.63855871507809
1700029J07Rik,0.033430073253900294,0.13289089840440574,0.42488681519519744
1700029M20Rik,0.0061280161155398746,0.8634306433554249,0.9777683865956135
1700029P11Rik,0.02921099670847894,1.970096101033056,0.17286322676747043
1700030C12Rik,0.012209074557541284,0.8179458157231425,0.7670135536612875
1700030J22Rik,0.041709906066300165,0.12393209775910705,1.4092861711371443
1700030K09Rik,0.03677857488305973,0.11571556606142734,0.22389398802513222
1700037C18Rik,0.005710854917067685,0.24238922182028916,1.6132064867984974
1700037H04Rik,0.10521379632792616,0.6194970071493912,1.1857303018662904
1700040L02Rik,0.018740811165850406,1.2981684002545513,0.11437403018529396
1700048O20Rik,0.06378222174954346,0.007440323251490413,0.02890008455754625
1700049G17Rik,0.0008806027236002714,0.0,0.01950753976726651
1700052N19Rik,0.026641093933214947,0.5775857809714797,0.07862093919072814
1700056E22Rik,0.0021424518935150216,0.04831272057981747,0.26910124583016143
1700057G04Rik,0.02075594485710986,0.058019329673368536,0.29250478261355106
1700057H21Rik,0.00043949890867252527,0.006721209476862223,0.004534600498045915
1700061G19Rik,0.008158844395090013,0.13300859971851775,0.4902193148991909
1700065D16Rik,0.014197407535848347,0.012594108998882293,0.007756611038312964
1700066M21Rik,0.03496509906159451,0.01630092498400837,0.06350786034592594
1700067K01Rik,0.0032226980990484994,0.01593919901209168,0.025089278897180524
1700080O16Rik,0.00021949727166910296,0.019988642364009462,0.18832097282531696
1700084M14Rik,0.004013438287454345,0.01198353494050482,0.5349339376083116
1700086L19Rik,0.003059665787469782,0.10781447613837855,0.5745686480002884
1700086P04Rik,0.1219309954212472,0.02510204195359716,0.011927404576710687
1700088E04Rik,0.10335716700845657,0.02062137040204429,0.028284725546250656
1700092C10Rik,0.0026140419922686163,0.005131281274638893,0.17036780012850639
1700092M07Rik,0.007361229707177394,0.04328000178540283,3.2175950373048154
1700093K21Rik,0.0015470763564444342,0.051482960298524,0.9789549673239916
1700101E01Rik,0.03559442090749146,0.002841132484792464,0.021105194878689434
1700101I11Rik,0.004703930822010881,0.019805909243441853,0.1657129782836251
1700102P08Rik,0.0003673604411862909,1.487073144050723,0.061561637936771836
1700109G15Rik,0.0012696698272658723,0.0018122794883708687,0.009362735660272542
1700109H08Rik,0.019449475983402468,0.06479085225810793,0.8864000879663042
1700112D23Rik,0.035489084207418864,0.004976268285917381,0.0032094746755826718
1700113A16Rik,0.01207523491151297,0.003389383138167823,0.004250415719880477
1700120G11Rik,0.0012934048658635228,0.01220108605524973,0.0012489849611085828
1700122O11Rik,0.0004883507104626108,0.0,0.06904450719805674
1700123L14Rik,0.0061066865055515104,0.7610490214003512,0.5872442267809598
1700123M08Rik,0.002347366387227283,0.0,0.036429304628533436
1700123O20Rik,0.03157138360204001,0.15717511173671145,0.11019403981405133
1700125H20Rik,0.009719855735265022,0.12217012622430312,0.3642797651923998
1810013L24Rik,0.09839247710200426,0.04772359046343446,0.009133249697740018
1810020O05Rik,0.0003395545044804738,0.003719577051536207,0.0073307813064472805
1810024B03Rik,0.048732257749001744,0.0006197127761299454,0.002425653578211076
1810037I17Rik,0.0443659720934526,0.14059413522639988,0.004615820145348706
1810043G02Rik,0.002577810593249453,0.09014922183088386,0.13298794237158212
1810043H04Rik,0.2361059817790119,0.12154387702851238,0.16286902356946936
1810055G02Rik,0.042747726005595704,0.6832123514805998,0.6317771297593273
1810058I24Rik,0.08206149576343824,0.18663423242544183,0.026030481713224127
2010012O05Rik,0.024340075883156606,0.049156913120790124,0.000924180447073891
2010107E04Rik,2.8860213745524916,0.2598551506540118,1.5004031726613127
2010109A12Rik,0.007806480902487832,0.0408243415569008,0.02744213672110672
2010111I01Rik,0.03127839273568057,0.004770034527858697,0.024057987023927523
2200002J24Rik,3.0455509659746883e-05,0.0,0.06948196470755139
2210011C24Rik,0.008798358203480221,0.009843966181152432,0.014075128519139987
2210015D19Rik,0.026062591938404014,0.03464379156587927,0.02764975526521348
2210016L21Rik,0.016203632874390386,0.011675126159325143,0.002283683972730217
2210408I21Rik,0.003531165415691533,0.03995226243757608,0.018450349080660008
2300009A05Rik,0.07796618542740551,1.062704559945091,0.4391361250435348
2310003H01Rik,0.026503586290292796,0.06360257104053596,0.12223344946823958
2310010J17Rik,0.14602895576931715,0.023755436417268173,0.01953031271475599
2310022A10Rik,0.001755876827443459,0.009407966850252844,0.015175275560455661
2310030G06Rik,0.028821172741583526,0.005126251170714058,0.007854789317958808
2310033P09Rik,0.46507047321787603,0.01803360293948236,0.008130815381579799
2310036O22Rik,1.2085201876630587,1.1316697256347543,0.3449730260686812
2310039H08Rik,0.2806482799933426,0.20416988575079717,0.36525393028955944
2310045N01Rik,0.06749882433064916,0.14677599265221142,0.020148031899731793
2310047M10Rik,0.026170990136055925,0.06485298960508225,0.006251544141995635
2310057M21Rik,0.18759660811489923,0.17587287746945698,0.013113731211245969
2310061I04Rik,0.16445446042459116,0.2618321207885629,0.05496943069141477
2310067B10Rik,0.0024588216692618373,0.007107341233432311,0.022750720246887644
2410004B18Rik,0.27134029844693275,0.00158718472631731,0.05940996445514936
2410004N09Rik,0.022754507625310255,0.044220678991002696,0.1259835471641244
2410006H16Rik,0.20726947885309174,0.07473521736250507,0.0050304535475197525
2410015M20Rik,1.3921470976284376,0.10945218102498641,0.1703950171602521
2410089E03Rik,0.5127961842001367,0.200832990336564,0.11952377908665172
2410127L17Rik,0.00598429721352558,0.018445298063354546,0.018774100448192978
2500004C02Rik,0.004103413910813575,0.02622194232021296,0.010469267448884953
2510003E04Rik,0.20981478877465434,0.018350593521479913,0.07397417331439113
2610001J05Rik,0.035698438692214805,0.00021807401008911624,0.006183143443792622
2610015P09Rik,0.6170963529868634,0.20002857599621818,0.03707241443917726
2610020C07Rik,0.05265563498621836,0.007066883166714677,0.0032320732533042324
2610020H08Rik,0.03180994588334639,0.17586653741644448,0.016308496581858557
2610301B20Rik,0.01812564055032112,0.167289861742944,0.024111614467367818
2610318N02Rik,0.04984087292844901,0.48403340695408076,4.649718740106018
2610507B11Rik,1.0160265351203461,0.44667910192467625,0.06732802655060571
2700012I20Rik,0.0005141512039113824,0.008374643809713101,0.009093229917508673
2700029M09Rik,1.329695048662401,0.031082781714255287,0.02863660459057646
2700046G09Rik,0.004395902933665373,0.07985012754213477,0.01014858652406239
2700049A03Rik,0.08481755473994616,0.9570927936206702,0.12392832702307442
2700060E02Rik,0.5176064576158338,0.6578347606049725,0.5380525319545841
2700062C07Rik,0.07049082541055167,0.16393460592138268,0.02325427967270602
2700089E24Rik,0.06553716093030758,0.010559321080759316,0.011241870473632416
2700099C18Rik,0.18729080132539472,0.011860283062849636,0.04517590364803193
2810001G20Rik,0.039651270864955665,0.02760240036041277,0.010839126616908175
2810004N23Rik,2.7054682686805887,0.01806947693868237,0.04271065448988066
