"","orig.ident","nCount_RNA","nFeature_RNA","Cell","Batch","Group","ExpLibSize","RNA_snn_res.0.8","seurat_clusters"
"Cell1001","SeuratProject",65525,8519,"Cell1001","Batch2","Group1",64993.0942016604,"5","5"
"Cell1002","SeuratProject",69827,8800,"Cell1002","Batch2","Group1",70367.0534207163,"0","0"
"Cell1003","SeuratProject",67060,8573,"Cell1003","Batch2","Group2",66394.9338454863,"3","3"
"Cell1004","SeuratProject",37888,6586,"Cell1004","Batch2","Group2",38017.5771381821,"4","4"
"Cell1005","SeuratProject",61380,8227,"Cell1005","Batch2","Group2",60932.9236513329,"2","2"
"Cell1006","SeuratProject",76410,9151,"Cell1006","Batch2","Group3",77317.9044497336,"0","0"
"Cell1007","SeuratProject",68486,8679,"Cell1007","Batch2","Group1",67783.3525260698,"3","3"
"Cell1008","SeuratProject",41513,6808,"Cell1008","Batch2","Group1",41230.707078398,"2","2"
"Cell1009","SeuratProject",73677,8934,"Cell1009","Batch2","Group1",73730.08200184,"3","3"
"Cell1010","SeuratProject",57160,7980,"Cell1010","Batch2","Group3",56855.2793503707,"1","1"
"Cell1011","SeuratProject",61384,8318,"Cell1011","Batch2","Group1",62673.0911593749,"1","1"
"Cell1012","SeuratProject",77774,9137,"Cell1012","Batch2","Group3",77187.6605526554,"0","0"
"Cell1013","SeuratProject",68544,8659,"Cell1013","Batch2","Group1",68072.1067853914,"3","3"
"Cell1014","SeuratProject",61841,8336,"Cell1014","Batch2","Group1",61653.884013941,"4","4"
"Cell1015","SeuratProject",57447,7994,"Cell1015","Batch2","Group1",57337.982133365,"1","1"
"Cell1016","SeuratProject",62611,8314,"Cell1016","Batch2","Group2",62200.1615465909,"1","1"
"Cell1017","SeuratProject",63506,8459,"Cell1017","Batch2","Group4",63873.6151749216,"4","4"
"Cell1018","SeuratProject",62259,8261,"Cell1018","Batch2","Group4",62035.1833560471,"5","5"
"Cell1019","SeuratProject",51704,7611,"Cell1019","Batch2","Group1",52073.2140267232,"1","1"
"Cell1020","SeuratProject",59297,8159,"Cell1020","Batch2","Group2",60190.6330195795,"1","1"
"Cell1021","SeuratProject",67015,8778,"Cell1021","Batch2","Group3",67354.7815705932,"0","0"
"Cell1022","SeuratProject",59622,8184,"Cell1022","Batch2","Group2",60126.2403386897,"5","5"
"Cell1023","SeuratProject",56862,7997,"Cell1023","Batch2","Group1",56944.0664827061,"2","2"
"Cell1024","SeuratProject",83950,9543,"Cell1024","Batch2","Group4",83796.4205904272,"3","3"
"Cell1025","SeuratProject",57346,8119,"Cell1025","Batch2","Group1",57709.4394148029,"3","3"
"Cell1026","SeuratProject",63141,8384,"Cell1026","Batch2","Group2",62489.2513743933,"0","0"
"Cell1027","SeuratProject",58631,8103,"Cell1027","Batch2","Group2",58818.9717488773,"2","2"
"Cell1028","SeuratProject",80839,9406,"Cell1028","Batch2","Group4",81849.7907172286,"0","0"
"Cell1029","SeuratProject",43421,6998,"Cell1029","Batch2","Group4",43453.5029691513,"2","2"
"Cell1030","SeuratProject",46951,7334,"Cell1030","Batch2","Group4",46968.6890623747,"6","6"
"Cell1031","SeuratProject",55284,7906,"Cell1031","Batch2","Group3",54894.3767242111,"1","1"
"Cell1032","SeuratProject",40068,6658,"Cell1032","Batch2","Group1",39933.6720300339,"1","1"
"Cell1033","SeuratProject",78408,9261,"Cell1033","Batch2","Group1",77876.7925888917,"1","1"
"Cell1034","SeuratProject",54677,7828,"Cell1034","Batch2","Group1",54909.8283817735,"6","6"
"Cell1035","SeuratProject",94307,9855,"Cell1035","Batch2","Group2",94089.0941698064,"0","0"
"Cell1036","SeuratProject",52984,7686,"Cell1036","Batch2","Group1",53028.0924106693,"4","4"
"Cell1037","SeuratProject",85796,9563,"Cell1037","Batch2","Group1",86000.7701964904,"1","1"
"Cell1038","SeuratProject",57868,8161,"Cell1038","Batch2","Group2",58700.1197540002,"1","1"
"Cell1039","SeuratProject",51350,7624,"Cell1039","Batch2","Group4",51322.7368221771,"4","4"
"Cell1040","SeuratProject",60085,8230,"Cell1040","Batch2","Group2",60393.5744788826,"1","1"
"Cell1041","SeuratProject",52489,7711,"Cell1041","Batch2","Group3",52646.8453806101,"2","2"
"Cell1042","SeuratProject",77144,9197,"Cell1042","Batch2","Group1",77425.8092973102,"6","6"
"Cell1043","SeuratProject",49597,7553,"Cell1043","Batch2","Group2",49783.4203117705,"0","0"
"Cell1044","SeuratProject",66610,8655,"Cell1044","Batch2","Group2",66174.7411895199,"3","3"
"Cell1045","SeuratProject",90460,9636,"Cell1045","Batch2","Group2",89358.8956093972,"0","0"
"Cell1046","SeuratProject",50995,7552,"Cell1046","Batch2","Group1",50751.6985967732,"2","2"
"Cell1047","SeuratProject",62717,8377,"Cell1047","Batch2","Group1",62445.4074674474,"2","2"
"Cell1048","SeuratProject",59947,8162,"Cell1048","Batch2","Group1",59391.4952338516,"5","5"
"Cell1049","SeuratProject",46081,7213,"Cell1049","Batch2","Group2",46197.2188157806,"2","2"
