"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene13075",3.67632957936625e-194,0.810221678083387,1,1,7.3526591587325e-190
"Gene142",4.01283671830192e-158,0.64846399078455,1,1,8.02567343660384e-154
"Gene3523",7.44583736162972e-138,0.672940713915725,1,1,1.48916747232594e-133
"Gene14279",1.14269676411386e-126,0.681607400497077,1,1,2.28539352822772e-122
"Gene14643",7.63153690973372e-106,0.438685533590088,1,1,1.52630738194674e-101
"Gene16265",7.33435340364344e-93,0.477757718260552,1,1,1.46687068072869e-88
"Gene2512",3.07604418150641e-89,0.420469728490635,1,1,6.15208836301282e-85
"Gene15832",6.60528955873456e-84,0.41682551430103,1,1,1.32105791174691e-79
"Gene8591",8.63921159201606e-83,0.46947423352437,1,1,1.72784231840321e-78
"Gene6565",8.04787797175027e-72,0.429543258558065,1,1,1.60957559435005e-67
"Gene13444",2.84818953929476e-71,0.437960820107573,1,1,5.69637907858952e-67
"Gene7828",7.1417502766373e-69,0.448821921639694,1,1,1.42835005532746e-64
"Gene18370",8.57312510451501e-69,0.439253955023606,0.996,0.985,1.714625020903e-64
"Gene12429",2.94685894761866e-65,0.453217218314676,1,1,5.89371789523732e-61
"Gene1267",4.36130799664143e-61,0.390783559496529,1,1,8.72261599328286e-57
"Gene16236",7.88163694873445e-59,0.386715293097897,0.96,0.764,1.57632738974689e-54
"Gene14300",9.32496901424023e-53,0.393020463770101,0.993,0.928,1.86499380284805e-48
"Gene14832",1.52502776936179e-45,0.333862922505535,1,1,3.05005553872357e-41
"Gene5735",2.57159372072402e-43,0.268217544376311,1,1,5.14318744144805e-39
"Gene3370",2.58431907050873e-39,0.307359940475046,1,1,5.16863814101746e-35
