"","ref.Group"
"Cell1","Group2"
"Cell2","Group1"
"Cell3","Group3"
"Cell4","Group3"
"Cell5","Group1"
"Cell6","Group3"
"Cell7","Group1"
"Cell8","Group4"
"Cell9","Group3"
"Cell10","Group2"
"Cell11","Group2"
"Cell12","Group1"
"Cell13","Group2"
"Cell14","Group2"
"Cell15","Group1"
"Cell16","Group4"
"Cell17","Group1"
"Cell18","Group1"
"Cell19","Group1"
"Cell20","Group2"
"Cell21","Group1"
"Cell22","Group1"
"Cell23","Group2"
"Cell24","Group1"
"Cell25","Group3"
"Cell26","Group4"
"Cell27","Group1"
"Cell28","Group2"
"Cell29","Group2"
"Cell30","Group3"
"Cell31","Group1"
"Cell32","Group2"
"Cell33","Group4"
"Cell34","Group1"
"Cell35","Group1"
"Cell36","Group1"
"Cell37","Group4"
"Cell38","Group4"
"Cell39","Group1"
"Cell40","Group3"
"Cell41","Group4"
"Cell42","Group1"
"Cell43","Group2"
"Cell44","Group3"
"Cell45","Group1"
"Cell46","Group1"
"Cell47","Group2"
"Cell48","Group1"
"Cell49","Group4"
"Cell50","Group1"
"Cell51","Group1"
"Cell52","Group1"
"Cell53","Group1"
"Cell54","Group1"
"Cell55","Group4"
"Cell56","Group1"
"Cell57","Group3"
"Cell58","Group1"
"Cell59","Group1"
"Cell60","Group3"
"Cell61","Group4"
"Cell62","Group4"
"Cell63","Group3"
"Cell64","Group2"
"Cell65","Group1"
"Cell66","Group1"
"Cell67","Group1"
"Cell68","Group1"
"Cell69","Group4"
"Cell70","Group1"
"Cell71","Group3"
"Cell72","Group2"
"Cell73","Group3"
"Cell74","Group3"
"Cell75","Group1"
"Cell76","Group2"
"Cell77","Group2"
"Cell78","Group4"
"Cell79","Group3"
"Cell80","Group3"
"Cell81","Group2"
"Cell82","Group3"
"Cell83","Group1"
"Cell84","Group3"
"Cell85","Group2"
"Cell86","Group1"
"Cell87","Group1"
"Cell88","Group1"
"Cell89","Group3"
"Cell90","Group1"
"Cell91","Group1"
"Cell92","Group3"
"Cell93","Group1"
"Cell94","Group2"
"Cell95","Group2"
"Cell96","Group1"
"Cell97","Group2"
"Cell98","Group2"
"Cell99","Group1"
"Cell100","Group1"
"Cell101","Group3"
"Cell102","Group1"
"Cell103","Group1"
"Cell104","Group2"
"Cell105","Group3"
"Cell106","Group3"
"Cell107","Group2"
"Cell108","Group3"
"Cell109","Group3"
"Cell110","Group3"
"Cell111","Group3"
"Cell112","Group3"
"Cell113","Group1"
"Cell114","Group1"
"Cell115","Group1"
"Cell116","Group2"
"Cell117","Group1"
"Cell118","Group4"
"Cell119","Group3"
"Cell120","Group4"
"Cell121","Group3"
"Cell122","Group1"
"Cell123","Group2"
"Cell124","Group1"
"Cell125","Group1"
"Cell126","Group1"
"Cell127","Group1"
"Cell128","Group1"
"Cell129","Group1"
"Cell130","Group4"
"Cell131","Group1"
"Cell132","Group3"
"Cell133","Group1"
"Cell134","Group3"
"Cell135","Group4"
"Cell136","Group3"
"Cell137","Group3"
"Cell138","Group2"
"Cell139","Group1"
"Cell140","Group1"
"Cell141","Group1"
"Cell142","Group1"
"Cell143","Group3"
"Cell144","Group4"
