"","orig.ident","nCount_RNA","nFeature_RNA","Cell","Batch","Group","ExpLibSize","RNA_snn_res.0.8","seurat_clusters"
"Cell1","SeuratProject",72918,8903,"Cell1","Batch1","Group2",73611.094369055,"1","1"
"Cell2","SeuratProject",44597,7126,"Cell2","Batch1","Group1",44840.2665565637,"0","0"
"Cell3","SeuratProject",59599,8113,"Cell3","Batch1","Group3",59681.9709556089,"2","2"
"Cell4","SeuratProject",53632,7715,"Cell4","Batch1","Group3",53913.6792402695,"2","2"
"Cell5","SeuratProject",73123,8949,"Cell5","Batch1","Group1",73216.9126087892,"0","0"
"Cell6","SeuratProject",49022,7455,"Cell6","Batch1","Group3",48987.3732424752,"2","2"
"Cell7","SeuratProject",63205,8369,"Cell7","Batch1","Group1",62841.8169061581,"0","0"
"Cell8","SeuratProject",49468,7476,"Cell8","Batch1","Group4",48932.5810780133,"1","1"
"Cell9","SeuratProject",60226,8178,"Cell9","Batch1","Group3",60646.8769711073,"2","2"
"Cell10","SeuratProject",76530,9130,"Cell10","Batch1","Group2",75900.8287875712,"1","1"
"Cell11","SeuratProject",46911,7358,"Cell11","Batch1","Group2",46582.4741266376,"1","1"
"Cell12","SeuratProject",57741,7961,"Cell12","Batch1","Group1",57257.9242612286,"0","0"
"Cell13","SeuratProject",61680,8245,"Cell13","Batch1","Group2",62006.6331600691,"1","1"
"Cell14","SeuratProject",73304,8975,"Cell14","Batch1","Group2",73073.1219143242,"1","1"
"Cell15","SeuratProject",62637,8407,"Cell15","Batch1","Group1",63087.9200946291,"0","0"
"Cell16","SeuratProject",79413,9303,"Cell16","Batch1","Group4",78387.0312825893,"3","3"
"Cell17","SeuratProject",59797,8205,"Cell17","Batch1","Group1",60408.3620934725,"0","0"
"Cell18","SeuratProject",49313,7427,"Cell18","Batch1","Group1",49128.4422112993,"0","0"
"Cell19","SeuratProject",60577,8224,"Cell19","Batch1","Group1",61376.2747416719,"0","0"
"Cell20","SeuratProject",84965,9529,"Cell20","Batch1","Group2",85398.5838714538,"1","1"
"Cell21","SeuratProject",48880,7350,"Cell21","Batch1","Group1",48504.263363668,"0","0"
"Cell22","SeuratProject",52340,7637,"Cell22","Batch1","Group1",52193.3260155971,"0","0"
"Cell23","SeuratProject",60852,8195,"Cell23","Batch1","Group2",60183.775357508,"1","1"
"Cell24","SeuratProject",68534,8725,"Cell24","Batch1","Group1",68142.0833281704,"0","0"
"Cell25","SeuratProject",62077,8349,"Cell25","Batch1","Group3",62592.4442881373,"2","2"
"Cell26","SeuratProject",71732,8876,"Cell26","Batch1","Group4",71525.1020804418,"3","3"
"Cell27","SeuratProject",71765,8947,"Cell27","Batch1","Group1",72454.3754141131,"0","0"
"Cell28","SeuratProject",64952,8527,"Cell28","Batch1","Group2",64352.3162263791,"1","1"
"Cell29","SeuratProject",64680,8468,"Cell29","Batch1","Group2",65478.7518772829,"1","1"
"Cell30","SeuratProject",102845,10306,"Cell30","Batch1","Group3",102933.090968021,"2","2"
"Cell31","SeuratProject",57657,8046,"Cell31","Batch1","Group1",56763.0379594047,"0","0"
"Cell32","SeuratProject",73926,8962,"Cell32","Batch1","Group2",73539.0363762576,"1","1"
