"","orig.ident","nCount_RNA","nFeature_RNA","Cell","Batch","Group","ExpLibSize","RNA_snn_res.0.8","seurat_clusters"
"Cell1","SeuratProject",72918,8903,"Cell1","Batch1","Group2",73611.094369055,"3","3"
"Cell2","SeuratProject",44597,7126,"Cell2","Batch1","Group1",44840.2665565637,"1","1"
"Cell3","SeuratProject",59599,8113,"Cell3","Batch1","Group3",59681.9709556089,"4","4"
"Cell4","SeuratProject",53632,7715,"Cell4","Batch1","Group3",53913.6792402695,"4","4"
"Cell5","SeuratProject",73123,8949,"Cell5","Batch1","Group1",73216.9126087892,"1","1"
"Cell6","SeuratProject",49022,7455,"Cell6","Batch1","Group3",48987.3732424752,"4","4"
"Cell7","SeuratProject",63205,8369,"Cell7","Batch1","Group1",62841.8169061581,"1","1"
"Cell8","SeuratProject",49468,7476,"Cell8","Batch1","Group4",48932.5810780133,"1","1"
"Cell9","SeuratProject",60226,8178,"Cell9","Batch1","Group3",60646.8769711073,"4","4"
"Cell10","SeuratProject",76530,9130,"Cell10","Batch1","Group2",75900.8287875712,"3","3"
"Cell11","SeuratProject",46911,7358,"Cell11","Batch1","Group2",46582.4741266376,"3","3"
"Cell12","SeuratProject",57741,7961,"Cell12","Batch1","Group1",57257.9242612286,"1","1"
"Cell13","SeuratProject",61680,8245,"Cell13","Batch1","Group2",62006.6331600691,"3","3"
"Cell14","SeuratProject",73304,8975,"Cell14","Batch1","Group2",73073.1219143242,"3","3"
"Cell15","SeuratProject",62637,8407,"Cell15","Batch1","Group1",63087.9200946291,"1","1"
"Cell16","SeuratProject",79413,9303,"Cell16","Batch1","Group4",78387.0312825893,"6","6"
"Cell17","SeuratProject",59797,8205,"Cell17","Batch1","Group1",60408.3620934725,"1","1"
"Cell18","SeuratProject",49313,7427,"Cell18","Batch1","Group1",49128.4422112993,"1","1"
"Cell19","SeuratProject",60577,8224,"Cell19","Batch1","Group1",61376.2747416719,"1","1"
"Cell20","SeuratProject",84965,9529,"Cell20","Batch1","Group2",85398.5838714538,"3","3"
"Cell21","SeuratProject",48880,7350,"Cell21","Batch1","Group1",48504.263363668,"1","1"
"Cell22","SeuratProject",52340,7637,"Cell22","Batch1","Group1",52193.3260155971,"1","1"
"Cell23","SeuratProject",60852,8195,"Cell23","Batch1","Group2",60183.775357508,"3","3"
"Cell24","SeuratProject",68534,8725,"Cell24","Batch1","Group1",68142.0833281704,"1","1"
"Cell25","SeuratProject",62077,8349,"Cell25","Batch1","Group3",62592.4442881373,"4","4"
"Cell26","SeuratProject",71732,8876,"Cell26","Batch1","Group4",71525.1020804418,"6","6"
"Cell27","SeuratProject",71765,8947,"Cell27","Batch1","Group1",72454.3754141131,"1","1"
"Cell28","SeuratProject",64952,8527,"Cell28","Batch1","Group2",64352.3162263791,"3","3"
"Cell29","SeuratProject",64680,8468,"Cell29","Batch1","Group2",65478.7518772829,"3","3"
"Cell30","SeuratProject",102845,10306,"Cell30","Batch1","Group3",102933.090968021,"4","4"
"Cell31","SeuratProject",57657,8046,"Cell31","Batch1","Group1",56763.0379594047,"1","1"
"Cell32","SeuratProject",73926,8962,"Cell32","Batch1","Group2",73539.0363762576,"3","3"
"Cell33","SeuratProject",34428,6238,"Cell33","Batch1","Group4",34362.7655637059,"6","6"
"Cell34","SeuratProject",53711,7769,"Cell34","Batch1","Group1",54213.4454900279,"1","1"
"Cell35","SeuratProject",72196,8923,"Cell35","Batch1","Group1",71552.0279422616,"1","1"
"Cell36","SeuratProject",55330,7936,"Cell36","Batch1","Group1",55411.5150991407,"1","1"
"Cell37","SeuratProject",74084,9106,"Cell37","Batch1","Group4",74483.1770441333,"6","6"
"Cell38","SeuratProject",95727,9958,"Cell38","Batch1","Group4",96212.3627076502,"6","6"
"Cell39","SeuratProject",60807,8316,"Cell39","Batch1","Group1",60996.5504574901,"1","1"
"Cell40","SeuratProject",69751,8804,"Cell40","Batch1","Group3",70552.9465066948,"4","4"
"Cell41","SeuratProject",69474,8797,"Cell41","Batch1","Group4",69099.392352506,"6","6"
"Cell42","SeuratProject",58523,8170,"Cell42","Batch1","Group1",57932.4320706267,"1","1"
"Cell43","SeuratProject",70306,8946,"Cell43","Batch1","Group2",70236.5103976697,"3","3"
"Cell44","SeuratProject",42881,6946,"Cell44","Batch1","Group3",43251.3226220584,"4","4"
"Cell45","SeuratProject",69325,8689,"Cell45","Batch1","Group1",69016.0340321371,"1","1"
"Cell46","SeuratProject",77117,9232,"Cell46","Batch1","Group1",77401.5130629056,"1","1"
"Cell47","SeuratProject",62376,8321,"Cell47","Batch1","Group2",62294.2404636291,"3","3"
"Cell48","SeuratProject",92594,9907,"Cell48","Batch1","Group1",92202.5264224594,"1","1"
"Cell49","SeuratProject",58123,8128,"Cell49","Batch1","Group4",57947.8008497682,"6","6"
"Cell50","SeuratProject",51598,7597,"Cell50","Batch1","Group1",50724.967426291,"1","1"
"Cell51","SeuratProject",55001,7870,"Cell51","Batch1","Group1",55112.2470203334,"1","1"
"Cell52","SeuratProject",80906,9236,"Cell52","Batch1","Group1",81298.814017793,"1","1"
"Cell53","SeuratProject",48547,7459,"Cell53","Batch1","Group1",48553.6770670908,"1","1"
"Cell54","SeuratProject",62456,8304,"Cell54","Batch1","Group1",62667.0566354572,"1","1"
"Cell55","SeuratProject",51243,7577,"Cell55","Batch1","Group4",51479.8135652904,"6","6"
"Cell56","SeuratProject",79041,9272,"Cell56","Batch1","Group1",79437.5256798526,"1","1"
"Cell57","SeuratProject",76124,9127,"Cell57","Batch1","Group3",76181.6941025597,"4","4"
"Cell58","SeuratProject",67453,8800,"Cell58","Batch1","Group1",67060.429202448,"1","1"
"Cell59","SeuratProject",79034,9218,"Cell59","Batch1","Group1",78555.5652602793,"1","1"
"Cell60","SeuratProject",58181,7987,"Cell60","Batch1","Group3",57524.5994574854,"4","4"
"Cell61","SeuratProject",69769,8749,"Cell61","Batch1","Group4",70055.3969728372,"6","6"
"Cell62","SeuratProject",85915,9538,"Cell62","Batch1","Group4",85673.0195030085,"6","6"
"Cell63","SeuratProject",56168,7971,"Cell63","Batch1","Group3",55862.6542487551,"4","4"
"Cell64","SeuratProject",65405,8518,"Cell64","Batch1","Group2",64571.1538406976,"3","3"
"Cell65","SeuratProject",56127,7949,"Cell65","Batch1","Group1",55719.1491177236,"1","1"
"Cell66","SeuratProject",67375,8669,"Cell66","Batch1","Group1",67082.7719422971,"1","1"
"Cell67","SeuratProject",84003,9481,"Cell67","Batch1","Group1",84669.7304880573,"1","1"
"Cell68","SeuratProject",47621,7424,"Cell68","Batch1","Group1",47241.6843866687,"1","1"
"Cell69","SeuratProject",61880,8407,"Cell69","Batch1","Group4",61779.0731320111,"6","6"
"Cell70","SeuratProject",57853,8150,"Cell70","Batch1","Group1",58428.6508944878,"1","1"
"Cell71","SeuratProject",55575,7925,"Cell71","Batch1","Group3",54833.5140468535,"4","4"
"Cell72","SeuratProject",63350,8414,"Cell72","Batch1","Group2",62235.8026810592,"3","3"
"Cell73","SeuratProject",50084,7561,"Cell73","Batch1","Group3",50116.2165034706,"4","4"
"Cell74","SeuratProject",84428,9487,"Cell74","Batch1","Group3",84468.6994979064,"4","4"
"Cell75","SeuratProject",55467,7948,"Cell75","Batch1","Group1",54943.3033915369,"1","1"
"Cell76","SeuratProject",51650,7625,"Cell76","Batch1","Group2",52176.865294012,"3","3"
"Cell77","SeuratProject",68823,8735,"Cell77","Batch1","Group2",68289.5115234116,"3","3"
"Cell78","SeuratProject",51721,7640,"Cell78","Batch1","Group4",51486.5571790514,"6","6"
"Cell79","SeuratProject",52544,7624,"Cell79","Batch1","Group3",52733.8060873491,"4","4"
"Cell80","SeuratProject",70924,8903,"Cell80","Batch1","Group3",70647.8800483667,"4","4"
"Cell81","SeuratProject",62933,8374,"Cell81","Batch1","Group2",62577.2036895261,"3","3"
"Cell82","SeuratProject",60474,8215,"Cell82","Batch1","Group3",60267.9606352075,"4","4"
"Cell83","SeuratProject",74745,9079,"Cell83","Batch1","Group1",74570.2863883654,"1","1"
"Cell84","SeuratProject",55525,7905,"Cell84","Batch1","Group3",56220.5228524621,"1","1"
"Cell85","SeuratProject",57767,8044,"Cell85","Batch1","Group2",57934.5963332219,"3","3"
"Cell86","SeuratProject",51704,7658,"Cell86","Batch1","Group1",51746.1909888854,"1","1"
"Cell87","SeuratProject",62605,8334,"Cell87","Batch1","Group1",62216.5916059409,"1","1"
"Cell88","SeuratProject",46550,7236,"Cell88","Batch1","Group1",46852.0394993909,"1","1"
"Cell89","SeuratProject",59455,8206,"Cell89","Batch1","Group3",59320.6924980265,"4","4"
"Cell90","SeuratProject",68491,8777,"Cell90","Batch1","Group1",69285.4855615673,"1","1"
"Cell91","SeuratProject",54444,7851,"Cell91","Batch1","Group1",54572.7065670042,"1","1"
"Cell92","SeuratProject",105472,10425,"Cell92","Batch1","Group3",106056.948359964,"4","4"
"Cell93","SeuratProject",52366,7765,"Cell93","Batch1","Group1",52602.5751440185,"1","1"
"Cell94","SeuratProject",46823,7235,"Cell94","Batch1","Group2",46552.4242718002,"3","3"
"Cell95","SeuratProject",43938,7083,"Cell95","Batch1","Group2",44136.9438689075,"3","3"
"Cell96","SeuratProject",70364,8791,"Cell96","Batch1","Group1",70463.3888378106,"1","1"
"Cell97","SeuratProject",54530,7760,"Cell97","Batch1","Group2",54174.7835595851,"3","3"
"Cell98","SeuratProject",60099,8182,"Cell98","Batch1","Group2",60285.7580907849,"3","3"
"Cell99","SeuratProject",40792,6694,"Cell99","Batch1","Group1",40943.976600085,"1","1"
"Cell100","SeuratProject",59047,8149,"Cell100","Batch1","Group1",58745.8697960119,"1","1"
"Cell101","SeuratProject",80438,9363,"Cell101","Batch1","Group3",80087.8451969619,"4","4"
"Cell102","SeuratProject",60812,8328,"Cell102","Batch1","Group1",61343.0722648986,"1","1"
"Cell103","SeuratProject",56942,8016,"Cell103","Batch1","Group1",57768.0712480024,"1","1"
"Cell104","SeuratProject",49674,7434,"Cell104","Batch1","Group2",49318.7355331056,"3","3"
"Cell105","SeuratProject",61487,8377,"Cell105","Batch1","Group3",61804.5319747738,"4","4"
"Cell106","SeuratProject",63578,8454,"Cell106","Batch1","Group3",63392.4654760826,"4","4"
"Cell107","SeuratProject",81796,9357,"Cell107","Batch1","Group2",80947.6088525183,"3","3"
"Cell108","SeuratProject",72785,9017,"Cell108","Batch1","Group3",72664.7875080981,"4","4"
"Cell109","SeuratProject",77555,9201,"Cell109","Batch1","Group3",77005.1836132669,"4","4"
"Cell110","SeuratProject",53851,7716,"Cell110","Batch1","Group3",54270.2560096153,"4","4"
"Cell111","SeuratProject",65588,8518,"Cell111","Batch1","Group3",66030.8793599963,"4","4"
"Cell112","SeuratProject",43289,6917,"Cell112","Batch1","Group3",43178.7540790083,"4","4"
"Cell113","SeuratProject",50795,7515,"Cell113","Batch1","Group1",50997.6490850762,"1","1"
"Cell114","SeuratProject",70813,8849,"Cell114","Batch1","Group1",70703.1417967428,"1","1"
"Cell115","SeuratProject",64859,8557,"Cell115","Batch1","Group1",64238.052583991,"1","1"
"Cell116","SeuratProject",55815,7907,"Cell116","Batch1","Group2",55523.3362852181,"3","3"
"Cell117","SeuratProject",43811,7164,"Cell117","Batch1","Group1",43912.8719923687,"1","1"
"Cell118","SeuratProject",54183,7781,"Cell118","Batch1","Group4",53694.9539632046,"6","6"
"Cell119","SeuratProject",61168,8375,"Cell119","Batch1","Group3",61077.8163072526,"4","4"
"Cell120","SeuratProject",55459,7916,"Cell120","Batch1","Group4",55393.2521061878,"6","6"
"Cell121","SeuratProject",44655,7160,"Cell121","Batch1","Group3",44116.2557485639,"4","4"
"Cell122","SeuratProject",45685,7172,"Cell122","Batch1","Group1",45760.7844158204,"1","1"
"Cell123","SeuratProject",66817,8614,"Cell123","Batch1","Group2",67520.0191132146,"3","3"
"Cell124","SeuratProject",74332,9065,"Cell124","Batch1","Group1",74834.6524044085,"1","1"
"Cell125","SeuratProject",72624,9020,"Cell125","Batch1","Group1",72545.9607681753,"1","1"
"Cell126","SeuratProject",54501,7833,"Cell126","Batch1","Group1",55152.4036383291,"1","1"
"Cell127","SeuratProject",48871,7460,"Cell127","Batch1","Group1",48608.5811979419,"1","1"
"Cell128","SeuratProject",64410,8509,"Cell128","Batch1","Group1",64601.4903550921,"1","1"
"Cell129","SeuratProject",49435,7496,"Cell129","Batch1","Group1",49213.7837997535,"1","1"
"Cell130","SeuratProject",59002,8125,"Cell130","Batch1","Group4",59254.1295901145,"6","6"
"Cell131","SeuratProject",63238,8406,"Cell131","Batch1","Group1",62247.9948212452,"1","1"
"Cell132","SeuratProject",102146,10306,"Cell132","Batch1","Group3",102177.612135887,"4","4"
"Cell133","SeuratProject",41872,6926,"Cell133","Batch1","Group1",41811.5428405268,"1","1"
"Cell134","SeuratProject",70376,8772,"Cell134","Batch1","Group3",69672.8499379639,"4","4"
"Cell135","SeuratProject",49761,7521,"Cell135","Batch1","Group4",50284.1848727905,"6","6"
"Cell136","SeuratProject",61128,8312,"Cell136","Batch1","Group3",60403.8876003262,"4","4"
"Cell137","SeuratProject",53233,7684,"Cell137","Batch1","Group3",52625.8943404511,"4","4"
"Cell138","SeuratProject",55513,7865,"Cell138","Batch1","Group2",54960.4195931505,"1","1"
"Cell139","SeuratProject",62486,8334,"Cell139","Batch1","Group1",62015.0372883977,"1","1"
"Cell140","SeuratProject",68962,8673,"Cell140","Batch1","Group1",68406.1925528403,"1","1"
"Cell141","SeuratProject",70125,8805,"Cell141","Batch1","Group1",70629.0699548763,"1","1"
"Cell142","SeuratProject",71007,8795,"Cell142","Batch1","Group1",71604.2546631844,"1","1"
"Cell143","SeuratProject",83876,9569,"Cell143","Batch1","Group3",83831.2699594938,"4","4"
"Cell144","SeuratProject",71806,8862,"Cell144","Batch1","Group4",71623.9893709928,"6","6"
"Cell145","SeuratProject",47611,7235,"Cell145","Batch1","Group3",47225.897242882,"4","4"
"Cell146","SeuratProject",48925,7455,"Cell146","Batch1","Group1",48321.9660219954,"1","1"
"Cell147","SeuratProject",75617,9155,"Cell147","Batch1","Group1",75692.2243096856,"1","1"
"Cell148","SeuratProject",67250,8670,"Cell148","Batch1","Group4",67367.3392951832,"6","6"
"Cell149","SeuratProject",62524,8309,"Cell149","Batch1","Group2",62711.4743571154,"3","3"
"Cell150","SeuratProject",66649,8653,"Cell150","Batch1","Group4",67173.5398069848,"6","6"
"Cell151","SeuratProject",66885,8616,"Cell151","Batch1","Group3",66663.9621265323,"4","4"
"Cell152","SeuratProject",65126,8564,"Cell152","Batch1","Group3",65082.2374847434,"4","4"
"Cell153","SeuratProject",58496,8115,"Cell153","Batch1","Group1",59443.4414474716,"1","1"
