"","orig.ident","nCount_RNA","nFeature_RNA","Cell","Batch","Group","ExpLibSize","RNA_snn_res.0.8","seurat_clusters"
"Cell1","SeuratProject",9639,1006,"Cell1","Batch1","Group2",10292.4501835272,"1","1"
"Cell2","SeuratProject",2988,494,"Cell2","Batch1","Group1",3559.75694780193,"1","1"
"Cell3","SeuratProject",1712,333,"Cell3","Batch1","Group3",2051.05134374564,"0","0"
"Cell4","SeuratProject",3351,497,"Cell4","Batch1","Group1",4080.69239869419,"1","1"
"Cell5","SeuratProject",3372,500,"Cell5","Batch1","Group3",3940.47478436512,"0","0"
"Cell6","SeuratProject",3628,505,"Cell6","Batch1","Group2",4247.68423830712,"2","2"
"Cell7","SeuratProject",6726,748,"Cell7","Batch1","Group4",7366.93063713704,"3","3"
"Cell8","SeuratProject",2909,465,"Cell8","Batch1","Group1",3517.11574530501,"1","1"
"Cell9","SeuratProject",2644,405,"Cell9","Batch1","Group4",3149.51372170667,"0","0"
"Cell10","SeuratProject",3994,542,"Cell10","Batch1","Group1",4435.4201049953,"1","1"
"Cell11","SeuratProject",5921,717,"Cell11","Batch1","Group3",6862.01288137067,"2","2"
"Cell12","SeuratProject",1758,356,"Cell12","Batch1","Group2",1961.07599827115,"2","2"
"Cell13","SeuratProject",2285,400,"Cell13","Batch1","Group2",2767.97731603909,"2","2"
"Cell14","SeuratProject",3138,495,"Cell14","Batch1","Group3",3828.64276489413,"0","0"
"Cell15","SeuratProject",2533,413,"Cell15","Batch1","Group2",3017.80699213629,"2","2"
"Cell16","SeuratProject",3033,457,"Cell16","Batch1","Group1",3578.55618271613,"1","1"
"Cell17","SeuratProject",3841,550,"Cell17","Batch1","Group2",4647.36934494642,"2","2"
"Cell18","SeuratProject",1877,349,"Cell18","Batch1","Group3",2131.06311394878,"0","0"
"Cell19","SeuratProject",3681,536,"Cell19","Batch1","Group2",4095.71350298905,"2","2"
"Cell20","SeuratProject",1477,294,"Cell20","Batch1","Group4",1843.3826859385,"0","0"
"Cell21","SeuratProject",2599,402,"Cell21","Batch1","Group1",2989.27750402057,"1","1"
"Cell22","SeuratProject",4012,516,"Cell22","Batch1","Group4",4720.92086622426,"0","0"
"Cell23","SeuratProject",3503,512,"Cell23","Batch1","Group2",4137.96228169721,"2","2"
"Cell24","SeuratProject",5373,641,"Cell24","Batch1","Group4",6416.20037636038,"2","2"
"Cell25","SeuratProject",1486,323,"Cell25","Batch1","Group4",2067.31592921455,"3","3"
"Cell26","SeuratProject",4083,578,"Cell26","Batch1","Group2",4835.54878228745,"0","0"
"Cell27","SeuratProject",2931,444,"Cell27","Batch1","Group4",3350.49690221567,"3","3"
"Cell28","SeuratProject",3335,508,"Cell28","Batch1","Group3",3919.64703157791,"0","0"
"Cell29","SeuratProject",3293,535,"Cell29","Batch1","Group3",4000.38645871742,"0","0"
"Cell30","SeuratProject",4494,600,"Cell30","Batch1","Group1",5214.06532956898,"1","1"
"Cell31","SeuratProject",1971,373,"Cell31","Batch1","Group1",2367.83996642459,"1","1"
"Cell32","SeuratProject",3191,490,"Cell32","Batch1","Group1",3549.53052252676,"1","1"
"Cell33","SeuratProject",5629,719,"Cell33","Batch1","Group2",6654.15743302869,"0","0"
"Cell34","SeuratProject",2691,450,"Cell34","Batch1","Group2",3318.26609959331,"2","2"
"Cell35","SeuratProject",3418,498,"Cell35","Batch1","Group1",3939.09901618337,"1","1"
"Cell36","SeuratProject",4548,615,"Cell36","Batch1","Group2",5238.37798299918,"2","2"
"Cell37","SeuratProject",5796,702,"Cell37","Batch1","Group2",6634.28088243086,"0","0"
"Cell38","SeuratProject",3200,459,"Cell38","Batch1","Group4",3732.49790291035,"3","3"
"Cell39","SeuratProject",2844,441,"Cell39","Batch1","Group2",3427.81090455157,"2","2"
