"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene32542",5.90615699290402e-222,2.50942090829287,0.981,0.739,1.99002053718908e-217
"Gene12892",1.84521608315974e-209,1.53299056232776,0.99,0.962,6.21727107059843e-205
"Gene6733",3.23776723015608e-198,2.91905755847943,0.921,0.41,1.09093329052879e-193
"Gene14217",1.63575553757114e-129,1.47432658947259,0.942,0.762,5.51151470829219e-125
"Gene24381",5.22020929918599e-103,1.5562314702464,0.934,0.76,1.75889732126773e-98
"Gene25272",7.52520856401602e-93,1.34190282697773,0.94,0.801,2.53554377355956e-88
"Gene6985",7.45400295016181e-91,1.98570972730884,0.41,0.053,2.51155175402752e-86
"Gene2937",3.71172482552281e-90,1.56491625891367,0.909,0.712,1.25062856271165e-85
"Gene15008",1.86034444557189e-84,2.00896135277388,0.462,0.091,6.26824457490993e-80
"Gene18063",1.17339359774094e-72,1.53812884298817,0.915,0.705,3.95363238822833e-68
"Gene22499",6.14640230733488e-68,1.44973402353543,0.778,0.452,2.07096879343341e-63
"Gene27166",2.81016933059011e-60,1.33574956786067,0.239,0.019,9.46858454249033e-56
"Gene31396",1.96234464751721e-57,1.35365213926002,0.291,0.042,6.61192405534449e-53
"Gene19301",2.65554425182624e-54,1.08724274425767,0.204,0.013,8.94759080210333e-50
"Gene32925",1.20590879395186e-48,1.1206021346576,0.235,0.03,4.06318909034141e-44
"Gene14639",2.36270624488366e-41,1.08485771715985,0.208,0.028,7.96090242151102e-37
"Gene15827",4.44766219940839e-38,0.856134558611669,0.145,0.009,1.49859530146866e-33
"Gene15579",2.07230053809774e-32,1.09050769541614,0.539,0.285,6.98240943306653e-28
"Gene18282",1.46071017791971e-29,0.793020713762934,0.145,0.018,4.92171687348267e-25
"Gene10106",1.09490374935927e-28,0.966456022448082,0.183,0.036,3.68916869309111e-24
