"","orig.ident","nCount_RNA","nFeature_RNA","Cell","Batch","Group","ExpLibSize","RNA_snn_res.0.8","seurat_clusters"
"Cell1001","SeuratProject",3091,445,"Cell1001","Batch2","Group1",3714.17199743802,"2","2"
"Cell1002","SeuratProject",3391,492,"Cell1002","Batch2","Group1",4002.37505533208,"2","2"
"Cell1003","SeuratProject",11790,1164,"Cell1003","Batch2","Group3",13282.0937320877,"0","0"
"Cell1004","SeuratProject",2815,432,"Cell1004","Batch2","Group1",3525.96100259572,"2","2"
"Cell1005","SeuratProject",3734,519,"Cell1005","Batch2","Group4",4184.17288546615,"1","1"
"Cell1006","SeuratProject",2193,375,"Cell1006","Batch2","Group4",2525.62395191225,"1","1"
"Cell1007","SeuratProject",2310,390,"Cell1007","Batch2","Group2",2618.62213607382,"3","3"
"Cell1008","SeuratProject",2104,373,"Cell1008","Batch2","Group3",2553.9375464131,"0","0"
"Cell1009","SeuratProject",2295,429,"Cell1009","Batch2","Group2",2978.93524524329,"3","3"
"Cell1010","SeuratProject",2626,448,"Cell1010","Batch2","Group3",3027.05783011014,"0","0"
"Cell1011","SeuratProject",6374,709,"Cell1011","Batch2","Group1",7115.30140990837,"2","2"
"Cell1012","SeuratProject",3364,466,"Cell1012","Batch2","Group1",3847.28072677457,"2","2"
"Cell1013","SeuratProject",2886,459,"Cell1013","Batch2","Group1",3479.88230630672,"2","2"
"Cell1014","SeuratProject",4380,570,"Cell1014","Batch2","Group1",5065.6164096076,"2","2"
"Cell1015","SeuratProject",3092,419,"Cell1015","Batch2","Group4",3486.84928895641,"1","1"
"Cell1016","SeuratProject",3832,513,"Cell1016","Batch2","Group1",4395.52157770515,"2","2"
"Cell1017","SeuratProject",2940,440,"Cell1017","Batch2","Group1",3448.96983302926,"2","2"
"Cell1018","SeuratProject",4870,591,"Cell1018","Batch2","Group1",5626.01114287309,"2","2"
"Cell1019","SeuratProject",3176,477,"Cell1019","Batch2","Group2",3748.72806710088,"3","3"
"Cell1020","SeuratProject",2488,390,"Cell1020","Batch2","Group4",3026.08317202993,"1","1"
"Cell1021","SeuratProject",4246,578,"Cell1021","Batch2","Group3",4989.77187101042,"0","0"
"Cell1022","SeuratProject",7323,743,"Cell1022","Batch2","Group4",8304.57309799646,"1","1"
"Cell1023","SeuratProject",4369,550,"Cell1023","Batch2","Group1",4905.73901011327,"2","2"
"Cell1024","SeuratProject",1634,326,"Cell1024","Batch2","Group3",2116.48164223516,"0","0"
"Cell1025","SeuratProject",2122,386,"Cell1025","Batch2","Group3",2637.04133929898,"0","0"
"Cell1026","SeuratProject",1839,339,"Cell1026","Batch2","Group1",2392.86405264621,"2","2"
"Cell1027","SeuratProject",2489,409,"Cell1027","Batch2","Group2",2893.93545380823,"2","2"
"Cell1028","SeuratProject",7002,774,"Cell1028","Batch2","Group2",7791.36255019838,"3","3"
"Cell1029","SeuratProject",5537,660,"Cell1029","Batch2","Group1",6230.93589989383,"2","2"
"Cell1030","SeuratProject",3834,518,"Cell1030","Batch2","Group3",4423.72746558273,"0","0"
"Cell1031","SeuratProject",1608,330,"Cell1031","Batch2","Group2",2180.75739671191,"3","3"
"Cell1032","SeuratProject",3999,513,"Cell1032","Batch2","Group4",4510.90403014801,"1","1"
"Cell1033","SeuratProject",3179,497,"Cell1033","Batch2","Group1",3798.15050786756,"2","2"
"Cell1034","SeuratProject",2763,431,"Cell1034","Batch2","Group3",3169.38472054167,"0","0"
"Cell1035","SeuratProject",3306,484,"Cell1035","Batch2","Group3",4051.04316358092,"1","1"
"Cell1036","SeuratProject",1976,361,"Cell1036","Batch2","Group1",2594.73231860845,"2","2"
"Cell1037","SeuratProject",3144,460,"Cell1037","Batch2","Group1",3914.97642302926,"2","2"
"Cell1038","SeuratProject",1995,356,"Cell1038","Batch2","Group1",2592.16528445339,"2","2"
"Cell1039","SeuratProject",2460,404,"Cell1039","Batch2","Group3",2810.921105584,"0","0"
"Cell1040","SeuratProject",4332,570,"Cell1040","Batch2","Group4",4861.06284006993,"1","1"
"Cell1041","SeuratProject",3517,525,"Cell1041","Batch2","Group2",4375.77560803904,"2","2"
"Cell1042","SeuratProject",2639,430,"Cell1042","Batch2","Group2",3068.18442088573,"3","3"
"Cell1043","SeuratProject",3482,469,"Cell1043","Batch2","Group4",3850.18737497725,"1","1"
"Cell1044","SeuratProject",2991,472,"Cell1044","Batch2","Group2",3485.01955476935,"3","3"
"Cell1045","SeuratProject",3333,452,"Cell1045","Batch2","Group4",4025.69807221038,"1","1"
"Cell1046","SeuratProject",1360,286,"Cell1046","Batch2","Group2",1731.56258407121,"3","3"
"Cell1047","SeuratProject",2178,348,"Cell1047","Batch2","Group4",2573.86835212078,"1","1"
"Cell1048","SeuratProject",5257,616,"Cell1048","Batch2","Group4",5767.42854709696,"1","1"
"Cell1049","SeuratProject",4283,615,"Cell1049","Batch2","Group2",5079.46247592394,"3","3"
"Cell1050","SeuratProject",1336,276,"Cell1050","Batch2","Group4",1752.13348593281,"1","1"
"Cell1051","SeuratProject",3237,475,"Cell1051","Batch2","Group3",3651.4414862219,"0","0"
"Cell1052","SeuratProject",3443,477,"Cell1052","Batch2","Group1",4128.99188410958,"2","2"
"Cell1053","SeuratProject",1776,318,"Cell1053","Batch2","Group4",2140.49190728772,"1","1"
"Cell1054","SeuratProject",3888,537,"Cell1054","Batch2","Group3",4479.40763232528,"0","0"
"Cell1055","SeuratProject",5969,746,"Cell1055","Batch2","Group2",6916.74514700091,"3","3"
"Cell1056","SeuratProject",6259,713,"Cell1056","Batch2","Group1",7353.45576294359,"2","2"
"Cell1057","SeuratProject",2597,424,"Cell1057","Batch2","Group2",3128.50697770655,"3","3"
"Cell1058","SeuratProject",4444,585,"Cell1058","Batch2","Group4",5371.68015739642,"1","1"
"Cell1059","SeuratProject",2938,459,"Cell1059","Batch2","Group3",3549.69347798752,"0","0"
"Cell1060","SeuratProject",2577,416,"Cell1060","Batch2","Group1",3104.36007661744,"2","2"
"Cell1061","SeuratProject",2535,418,"Cell1061","Batch2","Group2",3018.97296594715,"3","3"
"Cell1062","SeuratProject",1633,336,"Cell1062","Batch2","Group2",1874.14459264387,"3","3"
"Cell1063","SeuratProject",5410,617,"Cell1063","Batch2","Group4",5732.09435243672,"1","1"
"Cell1064","SeuratProject",2981,428,"Cell1064","Batch2","Group4",3499.44873013074,"1","1"
"Cell1065","SeuratProject",3460,465,"Cell1065","Batch2","Group4",3816.88304592011,"1","1"
"Cell1066","SeuratProject",3992,543,"Cell1066","Batch2","Group2",4475.04333764191,"3","3"
"Cell1067","SeuratProject",2227,367,"Cell1067","Batch2","Group1",2707.60673517888,"2","2"
"Cell1068","SeuratProject",1873,346,"Cell1068","Batch2","Group1",2403.83116934483,"2","2"
"Cell1069","SeuratProject",2870,398,"Cell1069","Batch2","Group1",3245.90808594204,"2","2"
"Cell1070","SeuratProject",1893,349,"Cell1070","Batch2","Group1",2217.87609860845,"2","2"
"Cell1071","SeuratProject",5951,672,"Cell1071","Batch2","Group1",6646.09393317668,"2","2"
"Cell1072","SeuratProject",3127,458,"Cell1072","Batch2","Group1",3596.95683066955,"2","2"
"Cell1073","SeuratProject",2260,386,"Cell1073","Batch2","Group4",2825.91173934988,"1","1"
"Cell1074","SeuratProject",3131,477,"Cell1074","Batch2","Group3",3505.24476024109,"0","0"
"Cell1075","SeuratProject",1186,290,"Cell1075","Batch2","Group2",1604.4518886611,"3","3"
"Cell1076","SeuratProject",3696,540,"Cell1076","Batch2","Group3",4072.31648354447,"0","0"
"Cell1077","SeuratProject",1656,309,"Cell1077","Batch2","Group4",1928.61180588777,"1","1"
"Cell1078","SeuratProject",1945,353,"Cell1078","Batch2","Group2",2272.78999169398,"3","3"
"Cell1079","SeuratProject",2253,359,"Cell1079","Batch2","Group4",2911.05917031865,"1","1"
"Cell1080","SeuratProject",3145,501,"Cell1080","Batch2","Group2",3873.80863719473,"3","3"
"Cell1081","SeuratProject",5454,719,"Cell1081","Batch2","Group2",6272.64933844483,"3","3"
"Cell1082","SeuratProject",4715,578,"Cell1082","Batch2","Group4",5664.21217225974,"1","1"
"Cell1083","SeuratProject",2384,416,"Cell1083","Batch2","Group2",2865.16499673947,"3","3"
"Cell1084","SeuratProject",3269,497,"Cell1084","Batch2","Group3",3746.50741732369,"0","0"
"Cell1085","SeuratProject",13354,1259,"Cell1085","Batch2","Group2",14971.0889836839,"3","3"
"Cell1086","SeuratProject",2606,421,"Cell1086","Batch2","Group3",3053.4911302121,"0","0"
"Cell1087","SeuratProject",2515,418,"Cell1087","Batch2","Group3",2848.83478834387,"0","0"
"Cell1088","SeuratProject",4703,597,"Cell1088","Batch2","Group3",5574.15506022431,"0","0"
"Cell1089","SeuratProject",5680,689,"Cell1089","Batch2","Group4",6806.35347645588,"1","1"
"Cell1090","SeuratProject",4238,587,"Cell1090","Batch2","Group1",5095.08316844116,"2","2"
